"a"	"b"	"w"	"x1"	"y1"	"x2"	"y2"
"9_2"	"11_4"	0.177039226073519	9	0.789287886981735	11	0.495756079504949
"9_3"	"11_4"	0.169272581136644	9	0.326530681710254	11	0.495756079504949
"9_4"	"11_4"	0.179948223132354	9	0.702424883076477	11	0.495756079504949
"9_5"	"11_4"	0.192462758435567	9	0.239667677804996	11	0.495756079504949
"9_6"	"11_4"	0.159615991472839	9	0.634314327474725	11	0.495756079504949
"9_7"	"11_4"	0.183443508144815	9	0.556722821338001	11	0.495756079504949
"9_8"	"11_4"	0.138006995659891	9	0.533559353629932	11	0.495756079504949
"9_9"	"11_4"	0.159107160139972	9	0.390527613977531	11	0.495756079504949
"9_1"	"11_5"	0.143700024656937	9	0.446696349724674	11	0.653731556000372
"9_2"	"11_5"	0.167418485352428	9	0.789287886981735	11	0.653731556000372
"9_3"	"11_5"	0.20860286070517	9	0.326530681710254	11	0.653731556000372
"9_4"	"11_5"	0.161983862627109	9	0.702424883076477	11	0.653731556000372
"9_5"	"11_5"	0.284228880877057	9	0.239667677804996	11	0.653731556000372
"9_6"	"11_5"	0.546347124679878	9	0.634314327474725	11	0.653731556000372
"9_7"	"11_5"	0.286980563297778	9	0.556722821338001	11	0.653731556000372
"9_8"	"11_5"	0.246988249539785	9	0.533559353629932	11	0.653731556000372
"9_9"	"11_5"	0.1689925556644	9	0.390527613977531	11	0.653731556000372
"9_1"	"11_6"	0.214125408975128	9	0.446696349724674	11	0.704411947933681
"9_2"	"11_6"	0.298810505516575	9	0.789287886981735	11	0.704411947933681
"9_3"	"11_6"	0.135641012837559	9	0.326530681710254	11	0.704411947933681
"9_4"	"11_6"	0.182248291480851	9	0.702424883076477	11	0.704411947933681
"9_5"	"11_6"	0.130384619508011	9	0.239667677804996	11	0.704411947933681
"9_6"	"11_6"	0.59524646514333	9	0.634314327474725	11	0.704411947933681
"9_7"	"11_6"	0.186456345760296	9	0.556722821338001	11	0.704411947933681
"9_8"	"11_6"	0.154092850714716	9	0.533559353629932	11	0.704411947933681
"9_9"	"11_6"	0.15927348475525	9	0.390527613977531	11	0.704411947933681
"9_1"	"11_7"	0.265405421331132	9	0.446696349724674	11	0.239667677804996
"9_2"	"11_7"	0.137224521913509	9	0.789287886981735	11	0.239667677804996
"9_3"	"11_7"	0.15791015641754	9	0.326530681710254	11	0.239667677804996
"9_4"	"11_7"	0.133819355389696	9	0.702424883076477	11	0.239667677804996
"9_5"	"11_7"	0.849760393007149	9	0.239667677804996	11	0.239667677804996
"9_6"	"11_7"	0.158361065047387	9	0.634314327474725	11	0.239667677804996
"9_7"	"11_7"	0.172861975332541	9	0.556722821338001	11	0.239667677804996
"9_8"	"11_7"	0.148974530727023	9	0.533559353629932	11	0.239667677804996
"9_9"	"11_7"	0.126520836785845	9	0.390527613977531	11	0.239667677804996
"9_1"	"11_8"	0.229579937249044	9	0.446696349724674	11	0.605782551118276
"9_2"	"11_8"	0.217068748650578	9	0.789287886981735	11	0.605782551118276
"9_3"	"11_8"	0.20105340107549	9	0.326530681710254	11	0.605782551118276
"9_4"	"11_8"	0.191448476154415	9	0.702424883076477	11	0.605782551118276
"9_5"	"11_8"	0.17662177572262	9	0.239667677804996	11	0.605782551118276
"9_6"	"11_8"	0.211860271137652	9	0.634314327474725	11	0.605782551118276
"9_7"	"11_8"	0.762012414048446	9	0.556722821338001	11	0.605782551118276
"9_8"	"11_8"	0.191508886945451	9	0.533559353629932	11	0.605782551118276
"9_9"	"11_8"	0.194494030569748	9	0.390527613977531	11	0.605782551118276
"9_1"	"11_9"	0.147940803072891	9	0.446696349724674	11	0.326530681710254
"9_2"	"11_9"	0.337762978458921	9	0.789287886981735	11	0.326530681710254
"9_3"	"11_9"	0.383225570519784	9	0.326530681710254	11	0.326530681710254
"9_4"	"11_9"	0.262051537490457	9	0.702424883076477	11	0.326530681710254
"9_5"	"11_9"	0.113752241159349	9	0.239667677804996	11	0.326530681710254
"9_6"	"11_9"	0.147159544367684	9	0.634314327474725	11	0.326530681710254
"9_7"	"11_9"	0.324098989612281	9	0.556722821338001	11	0.326530681710254
"9_8"	"11_9"	0.317339233974158	9	0.533559353629932	11	0.326530681710254
"9_9"	"11_9"	0.320597525852772	9	0.390527613977531	11	0.326530681710254
"9_1"	"11_10"	0.171067156335915	9	0.446696349724674	11	0.751484612856752
"9_2"	"11_10"	0.154980642860316	9	0.789287886981735	11	0.751484612856752
"9_3"	"11_10"	0.172610600561406	9	0.326530681710254	11	0.751484612856752
"9_4"	"11_10"	0.734154910024921	9	0.702424883076477	11	0.751484612856752
"9_5"	"11_10"	0.145825983136185	9	0.239667677804996	11	0.751484612856752
"9_6"	"11_10"	0.17903646870887	9	0.634314327474725	11	0.751484612856752
"9_7"	"11_10"	0.210371702327931	9	0.556722821338001	11	0.751484612856752
"9_8"	"11_10"	0.183880446678288	9	0.533559353629932	11	0.751484612856752
"9_9"	"11_10"	0.18374466675233	9	0.390527613977531	11	0.751484612856752
"9_1"	"11_11"	0.194880750415805	9	0.446696349724674	11	0.378698404902879
"9_2"	"11_11"	0.163005521203268	9	0.789287886981735	11	0.378698404902879
"9_3"	"11_11"	0.763863476311319	9	0.326530681710254	11	0.378698404902879
"9_4"	"11_11"	0.196334913404089	9	0.702424883076477	11	0.378698404902879
"9_5"	"11_11"	0.161642919771509	9	0.239667677804996	11	0.378698404902879
"9_6"	"11_11"	0.152267197074223	9	0.634314327474725	11	0.378698404902879
"9_7"	"11_11"	0.233418332602196	9	0.556722821338001	11	0.378698404902879
"9_8"	"11_11"	0.187713409704112	9	0.533559353629932	11	0.378698404902879
"9_9"	"11_11"	0.239383056144614	9	0.390527613977531	11	0.378698404902879
"11_1"	"13_1"	0.147408855732939	11	0.582619083410207	13	0.173648191269544
"11_2"	"13_1"	0.119122670962449	11	0.83834761676201	13	0.173648191269544
"11_3"	"13_1"	0.131346637302921	11	0.439587343757806	13	0.173648191269544
"11_4"	"13_1"	0.216754735047434	11	0.495756079504949	13	0.173648191269544
"11_5"	"13_1"	0.26977977586399	11	0.653731556000372	13	0.173648191269544
"11_6"	"13_1"	0.129327864252593	11	0.704411947933681	13	0.173648191269544
"11_7"	"13_1"	0.85539875952782	11	0.239667677804996	13	0.173648191269544
"11_8"	"13_1"	0.179620551371016	11	0.605782551118276	13	0.173648191269544
"11_9"	"13_1"	0.114097355949672	11	0.326530681710254	13	0.173648191269544
