"x"	"y"	"k"	"size"	"name"	"p"
6	0.326530681710254	7	0.263674456325844	"7_6"	"0.21487842, 0.27002567, 0.33465431, 0.25634231, 0.37123453, 0.34110622, 0.43179130, 0.57873114, 0.35255857, 0.68000450, 0.67285011, 0.57642257, 0.68896658, 0.66600992, 0.71955616, 0.68498230, 0.45340674, 0.54701090, 0.64611380, 0.42833794, 0.64858184, 0.68113259, 0.65176747, 0.69622395, 0.44508338, 0.68362245, 0.62032350, 0.36734227, 0.59219039, 0.02174735, 0.53188328, 0.48283499, 0.41351040, 0.25524909, 0.40763185, 0.28935173, 0.18475044, 0.31467263, 0.32921493, 0.36201951, 0.28331115, 0.13712535, 0.18605962, 0.21362606, 0.09144683, 0.17376843, 0.21446184, 0.19495188, 0.23544288, 0.15097303, 0.04538772, 0.04580882, 0.04715241, 0.01346510, 0.10608596, 0.00219459, 0.19739887, 0.02504591, 0.04072152, 0.09377390, 0.00000000, 0.05390450, 0.09517471, 0.11233516, 0.13144590, 0.04792341, 0.06166749, 0.00000000, 0.00024934, 0.04122249, 0.05798104, 0.12629027, 0.00000000"
7	0.575618000700573	7	0.131074407265009	"7_7"	"2.0229e-03, 2.5674e-04, 1.4388e-02, 4.9070e-05, 5.8096e-02, 6.2854e-05, 1.1799e-01, 8.1897e-02, 0.0000e+00, 3.0291e-02, 3.9505e-03, 2.0933e-04, 6.0916e-02, 0.0000e+00, 9.0121e-04, 3.3541e-02, 3.6949e-05, 2.2019e-04, 1.7702e-02, 3.2101e-02, 1.0701e-01, 5.1838e-02, 3.7597e-02, 5.9140e-02, 0.0000e+00, 5.6794e-03, 1.1939e-02, 0.0000e+00, 1.3286e-03, 0.0000e+00, 1.6046e-03, 6.3281e-04, 4.7943e-05, 9.0632e-05, 4.0379e-02, 2.3663e-02, 1.7153e-03, 6.0214e-02, 0.0000e+00, 3.0407e-03, 0.0000e+00, 0.0000e+00, 6.5532e-02, 1.1558e-01, 2.0709e-01, 1.3976e-01, 2.0357e-02, 1.0119e-01, 1.2966e-01, 1.3868e-01, 2.8005e-01, 2.5559e-01, 2.9321e-01, 3.3497e-01, 3.9509e-01, 3.5034e-01, 4.4872e-01, 3.4162e-01, 4.4637e-01, 5.1706e-01, 3.5817e-01, 4.4812e-01, 2.1547e-01, 4.0253e-01, 2.8949e-01, 2.2236e-01, 2.1233e-01, 1.3481e-01, 1.6493e-01, 2.2868e-01, 1.9498e-01, 6.5501e-02, 9.0938e-02"
1	0.446696349724674	9	0.0573210781368897	"9_1"	"5.4659e-02, 9.0886e-02, 4.7250e-02, 1.6586e-02, 1.3381e-02, 5.4368e-02, 6.8489e-04, 2.4919e-03, 2.8732e-01, 3.1471e-02, 1.1451e-02, 1.2804e-02, 5.3789e-04, 1.1169e-01, 5.7396e-02, 2.8035e-02, 1.5260e-01, 6.3195e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 8.9300e-03, 8.7454e-02, 9.5363e-03, 6.6130e-02, 2.8150e-02, 1.6945e-02, 2.3230e-01, 3.0037e-03, 4.9452e-02, 5.2891e-03, 3.1641e-04, 6.7121e-04, 0.0000e+00, 0.0000e+00, 0.0000e+00, 2.1324e-02, 0.0000e+00, 4.6654e-02, 1.1474e-04, 1.0647e-04, 6.7769e-02, 0.0000e+00, 0.0000e+00, 1.2653e-04, 2.2968e-02, 4.1344e-02, 2.8237e-03, 0.0000e+00, 9.3547e-03, 1.0254e-02, 1.4029e-02, 5.7644e-04, 0.0000e+00, 0.0000e+00, 2.3592e-02, 0.0000e+00, 2.6616e-05, 2.3645e-02, 0.0000e+00, 2.7930e-05, 2.7668e-03, 1.2646e-01, 0.0000e+00, 2.3827e-02, 5.8402e-02, 7.3952e-02, 2.3158e-01, 5.5908e-02, 5.3000e-02, 8.3028e-02, 2.8597e-01, 4.9391e-01"
2	0.789287886981735	9	0.0457517321478633	"9_2"	"1.7504e-02, 1.7202e-02, 6.0968e-05, 8.2438e-03, 2.0172e-04, 0.0000e+00, 0.0000e+00, 0.0000e+00, 2.3661e-02, 2.0569e-02, 1.0592e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 6.1239e-03, 6.5844e-02, 9.6279e-02, 0.0000e+00, 5.0289e-04, 1.3011e-04, 1.3232e-02, 4.3369e-02, 0.0000e+00, 2.0666e-02, 1.0741e-02, 7.2458e-02, 7.9438e-02, 9.7447e-02, 5.5910e-01, 1.0578e-01, 1.7861e-01, 1.5874e-01, 3.0223e-01, 8.9038e-02, 9.6941e-02, 7.7358e-04, 3.4037e-02, 3.8803e-02, 4.4177e-02, 2.1943e-01, 9.2610e-02, 9.0043e-02, 6.8020e-02, 0.0000e+00, 4.5811e-03, 2.8671e-04, 3.5613e-02, 2.3378e-02, 1.7002e-02, 7.9919e-02, 1.5337e-02, 1.5679e-02, 4.7364e-02, 0.0000e+00, 5.3097e-02, 4.6283e-05, 1.0255e-01, 3.7165e-02, 0.0000e+00, 1.2602e-01, 1.3834e-03, 3.2280e-02, 1.7446e-02, 0.0000e+00, 2.0162e-02, 0.0000e+00, 3.0728e-04, 3.7124e-03, 1.2895e-04, 1.6329e-02, 0.0000e+00, 4.3716e-02"
3	0.326530681710254	9	0.0639305238495735	"9_3"	"0.0000e+00, 0.0000e+00, 4.2678e-03, 3.9256e-04, 3.1334e-02, 3.0735e-02, 6.6559e-02, 1.4790e-01, 4.6758e-02, 1.8635e-01, 1.9873e-01, 1.3784e-01, 2.4138e-01, 2.7699e-01, 2.6800e-01, 2.3726e-01, 1.3926e-01, 1.4417e-01, 2.0216e-01, 9.8567e-02, 2.6164e-01, 2.4993e-01, 2.4213e-01, 2.5548e-01, 1.1443e-01, 2.6088e-01, 2.0351e-01, 8.6630e-02, 1.4689e-01, 0.0000e+00, 1.4186e-01, 1.1348e-01, 7.8963e-02, 2.2628e-02, 8.9218e-02, 4.9288e-02, 9.2829e-03, 8.8266e-02, 5.9009e-02, 7.4010e-02, 3.0769e-02, 7.3823e-05, 1.7073e-02, 3.9153e-02, 2.1509e-03, 1.8324e-02, 5.4476e-02, 4.5410e-02, 3.5838e-02, 1.6934e-02, 1.6210e-03, 0.0000e+00, 7.1094e-03, 7.4806e-04, 4.4892e-02, 0.0000e+00, 6.9194e-02, 1.0647e-03, 1.8166e-02, 2.7026e-02, 0.0000e+00, 6.3445e-03, 9.8835e-03, 2.8585e-02, 3.4906e-02, 0.0000e+00, 1.3222e-02, 0.0000e+00, 5.5409e-05, 0.0000e+00, 1.0517e-02, 2.3762e-02, 0.0000e+00"
4	0.702424883076477	9	0.0438318514958549	"9_4"	"1.0131e-01, 4.3646e-03, 1.2011e-02, 9.8435e-02, 7.4637e-03, 5.0283e-04, 0.0000e+00, 4.9838e-03, 3.7499e-02, 0.0000e+00, 6.8705e-04, 1.1074e-01, 0.0000e+00, 0.0000e+00, 1.0645e-02, 1.9889e-02, 1.0922e-01, 2.4001e-02, 1.8817e-02, 2.0233e-01, 3.0185e-02, 3.6265e-02, 1.1851e-02, 3.9145e-02, 2.3264e-01, 2.9385e-02, 3.0920e-02, 8.0582e-02, 1.4961e-02, 0.0000e+00, 1.8423e-02, 3.7969e-02, 3.5718e-02, 7.1085e-02, 3.2159e-02, 8.3965e-03, 2.4543e-01, 1.4328e-02, 6.1905e-02, 3.7407e-02, 6.3881e-03, 9.1282e-02, 1.0424e-02, 3.5392e-03, 2.9209e-01, 7.0411e-02, 1.5655e-02, 0.0000e+00, 1.6839e-02, 1.0898e-01, 1.1724e-02, 0.0000e+00, 6.1102e-02, 0.0000e+00, 5.2589e-04, 0.0000e+00, 5.1375e-03, 3.2339e-02, 1.3777e-03, 1.8867e-03, 3.0053e-02, 5.2473e-03, 2.9950e-04, 0.0000e+00, 0.0000e+00, 8.2597e-02, 4.4401e-04, 0.0000e+00, 3.3162e-02, 4.2985e-05, 0.0000e+00, 5.6079e-02, 7.7373e-04"
5	0.239667677804996	9	0.051349923905643	"9_5"	"0.0000e+00, 1.5854e-02, 3.3532e-03, 0.0000e+00, 1.7483e-03, 1.1314e-03, 3.1692e-02, 2.1619e-02, 0.0000e+00, 1.4050e-03, 1.0821e-02, 0.0000e+00, 0.0000e+00, 3.1252e-03, 5.5199e-03, 1.1237e-04, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 3.4218e-02, 2.1781e-04, 7.2538e-03, 0.0000e+00, 7.1880e-05, 0.0000e+00, 8.1976e-03, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 5.2734e-05, 1.3232e-02, 4.5316e-04, 5.9999e-05, 3.3804e-03, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 2.2120e-04, 5.0769e-02, 0.0000e+00, 5.1608e-04, 2.9966e-03, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 3.9372e-05, 3.7290e-03, 3.0480e-04, 1.8467e-02, 0.0000e+00, 5.0269e-02, 3.6765e-02, 3.8599e-02, 2.4362e-01, 2.7448e-01, 2.0686e-01, 2.7379e-01, 2.7813e-01, 2.7203e-01, 1.8562e-01, 2.5153e-01, 2.5236e-01, 2.6714e-01, 1.8369e-01, 5.9674e-02"
6	0.634314327474725	9	0.0597922674115904	"9_6"	"4.0540e-02, 3.8511e-04, 8.5355e-04, 4.2740e-02, 1.6676e-02, 4.4626e-03, 1.6811e-02, 2.5593e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 1.8154e-03, 4.0764e-04, 2.4783e-03, 9.1016e-03, 0.0000e+00, 0.0000e+00, 1.4875e-03, 2.3887e-02, 1.0734e-02, 8.6578e-03, 0.0000e+00, 6.8446e-03, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 8.0869e-04, 0.0000e+00, 7.1314e-04, 8.4375e-04, 0.0000e+00, 1.5921e-02, 9.6598e-03, 0.0000e+00, 8.7448e-04, 2.1099e-02, 0.0000e+00, 1.0901e-03, 5.3234e-05, 1.6658e-01, 2.4342e-02, 2.0738e-02, 2.7361e-02, 3.7841e-02, 1.1469e-04, 5.4976e-02, 3.3432e-02, 5.9406e-02, 1.1366e-01, 1.0846e-01, 1.4968e-01, 2.1670e-01, 1.6193e-01, 3.5229e-01, 1.6935e-01, 2.9049e-01, 3.2504e-01, 2.2574e-01, 2.4774e-01, 9.7791e-02, 2.0699e-02, 8.9811e-02, 4.0885e-02, 4.5400e-02, 3.8777e-02, 1.9610e-02, 6.8541e-02, 2.0633e-02, 2.1656e-02, 8.6595e-04, 3.4407e-02"
7	0.556722821338001	9	0.578549901878329	"9_7"	"0.57978, 0.60103, 0.65754, 0.58094, 0.65136, 0.59654, 0.65307, 0.63450, 0.48619, 0.66000, 0.66140, 0.59013, 0.64553, 0.56349, 0.63259, 0.64992, 0.49025, 0.58665, 0.61287, 0.56295, 0.61775, 0.62548, 0.56380, 0.64385, 0.54669, 0.60763, 0.61581, 0.49984, 0.64707, 0.39145, 0.62863, 0.60560, 0.60332, 0.54418, 0.62297, 0.62118, 0.55193, 0.62856, 0.62677, 0.65118, 0.57434, 0.48357, 0.62422, 0.64093, 0.52587, 0.63602, 0.56098, 0.62081, 0.66586, 0.59775, 0.63464, 0.64188, 0.62878, 0.63975, 0.65875, 0.54801, 0.66782, 0.56812, 0.54428, 0.64464, 0.55740, 0.62658, 0.53591, 0.63453, 0.60294, 0.51528, 0.56729, 0.48866, 0.54553, 0.58103, 0.57379, 0.44953, 0.36750"
8	0.533559353629932	9	0.0503780938363571	"9_8"	"0.0000e+00, 1.8421e-02, 3.7313e-02, 4.6617e-03, 1.8962e-02, 6.7065e-02, 3.9288e-02, 2.8287e-03, 0.0000e+00, 0.0000e+00, 8.1873e-03, 0.0000e+00, 3.5971e-02, 1.0259e-02, 0.0000e+00, 1.4888e-02, 0.0000e+00, 0.0000e+00, 2.6032e-02, 4.1908e-04, 7.4161e-03, 1.3667e-02, 1.9412e-03, 1.6304e-02, 0.0000e+00, 4.3706e-02, 3.7907e-02, 1.3076e-04, 3.0326e-02, 0.0000e+00, 3.1913e-02, 7.6992e-03, 3.9218e-02, 0.0000e+00, 6.7439e-02, 1.8074e-01, 1.0726e-01, 2.0138e-01, 1.2284e-01, 1.4561e-01, 1.0098e-01, 4.8575e-02, 1.8420e-01, 2.0588e-01, 9.0340e-02, 1.6498e-01, 3.1292e-01, 2.2158e-01, 1.5951e-01, 1.5644e-01, 1.1181e-01, 2.0360e-01, 1.3685e-01, 9.5397e-02, 1.2750e-01, 2.2708e-02, 5.4707e-02, 3.4601e-03, 6.4078e-05, 4.4924e-02, 1.6758e-04, 1.3834e-03, 0.0000e+00, 2.2770e-02, 2.3651e-02, 0.0000e+00, 3.4287e-02, 7.4166e-02, 4.1557e-02, 7.4622e-02, 2.7399e-02, 0.0000e+00, 2.4179e-05"
